Transaction Description,Category
Bought groceries at the supermarket,Food
Monthly rent payment,Housing
Donation,Charity
Movie tickets for family,Family
Bus fare to office,Transportation
Electricity bill,Utilities
Vet visit for dog,Pets
Flight tickets to Bali,Travel
Gym membership renewal,Health
Books for college,Education
Birthday gift for friend,Shopping
Office supplies purchase,Office
dinner at restaurant,Food
Outdoor camping gear,Outdoor
Mortgage payment,Housing
Home renovation,Home
Weekend trip expenses,Travel
Medical check-up,Health
Charity event donation,Charity
Monthly internet bill,Utilities
Pet food,Pets
Concert tickets,Entertainment
Taxi fare,Transportation
Online course fee,Education
Groceries for the week,Food
Office party expenses,Office
Family vacation,Travel
Water bill,Utilities
New clothes shopping,Shopping
Outdoor sports equipment,Outdoor
Home cleaning service,Home
Car maintenance,Transportation
Streaming service subscription,Entertainment
School supplies,Education
Donation to animal shelter,Charity
Gas bill,Utilities
Pet grooming,Pets
Weekend getaway,Travel
Doctor's appointment,Health
Charity fundraiser,Charity
Pet toys,Pets
Movie night,Entertainment
Train ticket,Transportation
Online course subscription,Education
Weekly groceries,Food
Office furniture,Office
outing,Travel
Home insurance,Home
Outdoor adventure trip,Outdoor
Medical insurance,Health
Charity auction,Charity
Monthly water bill,Utilities
Pet accessories,Pets
Concert night,Entertainment
Bus ticket,Transportation
Tuition fee,Education
Supermarket shopping,Food
Office renovation,Office
road trip,Travel
Home maintenance,Home
Outdoor hiking gear,Outdoor
Health check-up,Health
Charity walkathon,Charity
Monthly gas bill,Utilities
Pet vet visit,Pets
Movie tickets,Entertainment
Cab fare,Transportation
Online class fee,Education
Weekly supermarket run,Food
Office equipment,Office
Family holiday,Travel
Home improvement,Home
Outdoor camping trip,Outdoor
Health insurance,Health
Charity donation,Charity
Monthly electricity bill,Utilities
Pet care,Pets
Train fare,Transportation
Course enrollment,Education
Groceries shopping,Food
Office supplies,Office
Family trip,Travel
Home repair,Home
Outdoor adventure,Outdoor
Medical expenses,Health
Charity event,Charity
Monthly utility bill,Utilities
Pet supplies,Pets
Entertainment expenses,Entertainment
Transportation cost,Transportation
Education fee,Education
Food expenses,Food
Office expenses,Office
Travel expenses,Travel
Home expenses,Home
Outdoor expenses,Outdoor
Health expenses,Health
Lunch at the new cafe,Food
Monthly house rent,Housing
Charity donation for education,Charity
Tickets for the theater show,Entertainment
Uber ride to the airport,Transportation
Pet grooming service,Pets
Annual dental check-up,Health
Tuition fee for online course,Education
Shopping for winter clothes,Shopping
Office desk purchase,Office
Family dinner at a restaurant,Food
Camping gear for weekend trip,Outdoor
Home loan installment,Housing
Fuel for the car,Transportation
Subscription to music streaming service,Entertainment
Online course registration fee,Education
Weekly grocery shopping,Food
Office printer purchase,Office
Family weekend trip,Travel
Electricity bill payment,Utilities
Pet food purchase,Pets
Concert tickets for the band,Entertainment
Taxi fare to the hotel,Transportation
Online learning platform subscription,Education
Monthly grocery shopping,Food
Office supplies order,Office
Family holiday booking,Travel
Home security system installation,Home
Outdoor sports event registration,Outdoor
Health insurance premium payment,Health
Charity marathon registration fee,Charity
Monthly utility bill payment,Utilities
Pet vaccination appointment,Pets
Movie streaming service subscription,Entertainment
Bus pass renewal fee,Transportation
Course material purchase fee,Education
Weekly vegetable shopping,Food
Office decor items purchase,Office
Family trip planning expenses,Travel
Home appliance repair cost,Home
Outdoor adventure gear purchase,Outdoor
Medical treatment cost payment,Health
Charity fundraiser event registration,Charity
Monthly gas bill payment,Utilities
Pet boarding service fee,Pets
Concert night out expenses,Entertainment
Train ticket booking fee,Transportation
Online class enrollment fee,Education
Weekly food shopping expenses,Food
Office equipment purchase fee,Office
Family vacation planning expenses,Travel
Home renovation project cost,Home
Outdoor camping supplies purchase,Outdoor
Health check-up fee payment,Health
Charity auction participation fee,Charity
Monthly water bill payment,Utilities
Pet care products purchase,Pets
Entertainment subscription fee,Entertainment
Transportation fare payment,Transportation
Education course fee payment,Education
Food shopping list expenses,Food
Office supplies order fee,Office
Travel itinerary planning expenses,Travel
Home maintenance cost payment,Home
Outdoor activity cost payment,Outdoor
Health service fee payment,Health
Charity event participation fee,Charity
Pet supplies purchase fee,Pets
Entertainment expenses payment,Entertainment
Transportation cost payment,Transportation
Education fee payment,Education
Food expenses payment,Food
Office expenses payment,Office
Travel expenses payment,Travel
Home expenses payment,Home
Outdoor expenses payment,Outdoor
Health expenses payment,Health
Groceries from the local market,Food
Monthly mortgage payment,Housing
Charity donation for disaster relief,Charity
Tickets for the amusement park,Entertainment
Train pass for daily commute,Transportation
Water bill payment,Utilities
Hotel booking for vacation,Travel
Annual health check-up,Health
Tuition fee for semester,Education
Clothes shopping spree,Shopping
Office chair purchase,Office
Family brunch at cafe,Food
Camping trip supplies,Outdoor
Home loan EMI,Housing
Home painting service,Home
Car fuel,Transportation
Netflix subscription,Entertainment
Online course registration,Education
Printer for office,Office
Family weekend getaway,Travel
New shoes for pet,Pets
Concert tickets purchase,Entertainment
Taxi ride to airport,Transportation
Online learning platform fee,Education
Office stationery,Office
Home security system,Home
Outdoor sports event,Outdoor
Health insurance premium,Health
Charity marathon entry fee,Charity
Pet vaccination,Pets
Movie streaming service,Entertainment
Bus pass renewal,Transportation
Course material purchase,Education
Supermarket weekly run,Food
Office decor items,Office
Family trip planning,Travel
Home appliance repair,Home
Outdoor adventure gear,Outdoor
Medical treatment cost,Health
Charity fundraiser event,Charity
Pet boarding service,Pets
Concert night out,Entertainment
Train ticket booking,Transportation
Online class enrollment,Education
Weekly food shopping,Food
Office equipment purchase,Office
Family vacation planning,Travel
Home renovation project,Home
Outdoor camping supplies,Outdoor
Health check-up fee,Health
Charity auction participation,Charity
Pet care products,Pets
Entertainment subscription,Entertainment
Transportation fare,Transportation
Education course fee,Education
Food shopping list,Food
Travel itinerary,Travel
Home maintenance cost,Home
Outdoor activity cost,Outdoor
Health service fee,Health
Charity event participation,Charity
Hotel booking for business trip,Travel
coffee,Food
lunch,Food
burger for a homeless man,Charity
Starbucks latte,Food
buying groceries,Food
transportation to work,Transportation
bus fare,Transportation
taxi ride home,Transportation
Samsung phone repair,Shopping
new Apple Watch,Shopping
gas for the car,Transportation
movie tickets,Entertainment
donation to Red Cross,Charity
gift for a friend,Shopping
pet food,Pets
doctor appointment,Health
rent for the apartment,Housing
utility bill,Utilities
electricity payment,Utilities
new TV from Samsung,Shopping
gym membership,Health
travel to Paris,Travel
book for a class,Education
lunch at Burger King,Food
purchased outdoor gear,Outdoor
family dinner at home,Family
medical check-up,Health
cleaning supplies,Home
charitable donation,Charity
food delivery from local diner,Food
purchase of new shoes,Shopping
car maintenance,Transportation
internet bill,Utilities
gas for the lawn mower,Home
sunscreen for the beach,Outdoor
buying a new laptop,Shopping
hotel stay for vacation,Travel
home renovation supplies,Home
coffee machine repair,Home
family picnic supplies,Family
season tickets for sports,Entertainment
charitable fundraiser event,Charity
monthly rent payment,Housing
grocery store run,Food
weekend getaway to the mountains,Travel
birthday gift for a relative,Family
new set of gardening tools,Outdoor
office supplies purchase,Office
buying a book for a course,Education
monthly gym fee,Health
Starbucks frappuccino,Food
contribution to local food bank,Charity
cleaning services,Home
maintenance for home appliances,Home
new bike purchase,Transportation
coffee shop visit,Food
barbecue supplies,Outdoor
tickets for a concert,Entertainment
paying for a course,Education
pediatrician visit,Health
purchased outdoor furniture,Outdoor
payment for a subscription box,Shopping
family holiday gifts,Family
haircut at salon,Health
rent for the office space,Office
purchase of an exercise bike,Health
new garden plants,Outdoor
buying a new fridge,Home
train ticket for business trip,Transportation
donation to animal shelter,Charity
weekend trip to the lake,Travel
new smartphone case,Shopping
home cleaning service,Home
purchasing a new bicycle,Transportation
internet upgrade,Utilities
seasonal flu shot,Health
buying books for children,Education
trip to the zoo with family,Family
purchasing a smartwatch,Shopping
charity run entry fee,Charity
family movie night snacks,Family
electric bill payment,Utilities
day pass for amusement park,Entertainment
purchase of winter clothes,Shopping
home security system upgrade,Home
buying groceries online,Food
donation for disaster relief,Charity
lunch with colleagues,Food
repairing the washing machine,Home
seasonal holiday decorations,Home
furniture purchase for living room,Home
shopping for office supplies,Office
purchasing a camera for vacation,Travel
monthly rent for office space,Office
purchase of a new tablet,Shopping
buying a new TV,Shopping
purchases at outdoor market,Outdoor
car rental for weekend trip,Travel
rent payment for vacation cabin,Travel
medical consultation fee,Health
donation to environmental group,Charity
buying camping gear,Outdoor
holiday gift shopping,Shopping
surgical procedure,Health
purchasing a new desk for home office,Home
grocery delivery service,Food
charity dinner event ticket,Charity
lunch with family at diner,Food
gym equipment purchase,Health
paying for an online course,Education
cleaning supplies for the house,Home
purchasing a new microwave,Home
weekend getaway trip,Travel
buying a blender,Home
new furniture for the patio,Outdoor
home insurance payment,Home
trip to the amusement park,Entertainment
purchase of an exercise class membership,Health
buying a new camera for work,Office
food and drinks for a party,Food
gift for a child’s birthday,Family
bicycle repair,Transportation
buying a new coffee maker,Home
subscription for a cooking class,Education
transportation to the airport,Transportation
